No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,is_m31_subgroup
1,NGC 0055,00h14m53.6028s,-39d11m47.655s,3.723345,-39.196571,G,131,0.0004369689647,UUN,586,12,89,43,30,18,31,54,62,2,
2,ESO 410- G 005,00h15m31.5600s,-32d10m47.800s,3.8815,-32.17994444,G,158.8900084,0.000530000019,UUN,98,4,27,28,12,14,13,12,20,1,
3,ESO 294- G 010,00h26m33.4705s,-41d51m18.185s,6.639460732,-41.8550516,G,116.9190589,0.000390000001,SUN,103,3,27,28,9,14,14,13,14,0,
4,NGC 0147,00h33m12.1200s,+48d30m31.500s,8.3005,48.50875,G,-193.0663471,-0.000644000014,SUN,479,11,38,36,18,7,39,35,17,2,1
5,NGC 0185,00h38m57.8836s,+48d20m14.661s,9.741182,48.337406,G,-202.0601197,-0.00067400001,SUN,591,13,71,46,24,7,39,38,20,11,1
6,NGC 0300,00h54m53.4484s,-37d41m03.163s,13.722702,-37.684212,G,147.2,0.0004910063481,SUN,935,14,105,60,29,18,74,94,60,3,
7,IC 1613,01h04m47.8000s,+02d07m03.800s,16.19916667,2.117722222,G,-234.1379097,-0.000781,SUN,791,14,52,40,17,7,106,82,58,4,
8,Phoenix Dwarf,01h51m06.3000s,-44d26m41.100s,27.77625,-44.44475,G,-21.2,-7.07E-05,SLS,243,5,38,38,12,15,24,26,33,0,
9,Fornax Dwarf Spheroidal,02h39m59.2999s,-34d26m57.001s,39.997083,-34.449167,G,55.3,0.0001844609446,UUN,916,6,19,27,15,12,78,41,3,0,
10,UGCA 086,03h59m48.4676s,+67d08m18.435s,59.9519486,67.1384544,G,66.85371813,0.000223,SUN,99,5,24,13,4,2,8,18,3,3,
11,NGC 3109,10h03m06.8800s,-26d09m34.500s,150.7786667,-26.15958333,G,402.9210606,0.00134399999,SUN,545,16,59,43,20,17,52,69,33,3,
12,UGC 06817,11h50m52.9944s,+38d52m49.015s,177.72081,38.880282,G,241.9325136,0.000807,SUN,182,5,39,48,22,5,8,24,36,3,
13,NGC 4163,12h12m09.1581s,+36d10m11.299s,183.0381591,36.16980546,G,163.9864745,0.000547,UUN,224,4,70,61,23,5,13,28,48,5,
14,UGCA 276,12h14m58.1000s,+36d13m06.300s,183.7420833,36.21841667,G,283.9034577,0.000947,SUN,108,6,22,23,6,2,9,18,23,2,
15,IC 3104,12h18m46.1000s,-79d43m33.300s,184.6920833,-79.72591667,G,429.0030074,0.001431,UUN,81,3,27,23,14,16,6,11,8,1,
16,UGC 07577,12h27m40.9008s,+43d29m44.001s,186.92042,43.495556,G,194.8650983,0.000650000002,SUN,236,6,48,46,18,5,9,27,30,1,
